"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5991","should display an error for invalid admin credentials","","Fri Apr 18 13:14:12 SGT 2025","failed","Fri Apr 18 13:14:18 SGT 2025","","Admin Login Functionality - Online Shopping System","Admin Login Functionality - Online Shopping System","should display an error for invalid admin credentials"
"","1384","should trim inputs and reject login if credentials are incorrect","","Fri Apr 18 13:14:30 SGT 2025","passed","Fri Apr 18 13:14:31 SGT 2025","","Admin Login Functionality - Online Shopping System","Admin Login Functionality - Online Shopping System","should trim inputs and reject login if credentials are incorrect"
"","3658","passes","","Fri Apr 18 17:31:07 SGT 2025","passed","Fri Apr 18 17:31:11 SGT 2025","","template spec","template spec","passes"
"","4368","should show error when required fields are empty","","Sat May 17 00:15:46 SGT 2025","failed","Sat May 17 00:15:50 SGT 2025","","User Registration - Online Shopping System","User Registration - Online Shopping System","should show error when required fields are empty"
"","5011","should show error with invalid credentials","","Fri Apr 18 09:01:49 SGT 2025","broken","Fri Apr 18 09:01:54 SGT 2025","","Admin Login Functionality - Online Shopping System","Admin Login Functionality - Online Shopping System","should show error with invalid credentials"
"","874","should reject credentials with surrounding whitespaces if not trimmed","","Sat May 17 00:15:35 SGT 2025","passed","Sat May 17 00:15:36 SGT 2025","","Admin Login Functionality - Online Shopping System","Admin Login Functionality - Online Shopping System","should reject credentials with surrounding whitespaces if not trimmed"
"","238","should add an item to the cart successfully","","Sat May 17 00:15:28 SGT 2025","broken","Sat May 17 00:15:29 SGT 2025","","Add Item to Cart Test","Add Item to Cart Test","should add an item to the cart successfully"
"","8260","should register successfully with valid unique data","","Sat May 17 00:15:37 SGT 2025","broken","Sat May 17 00:15:46 SGT 2025","","User Registration - Online Shopping System","User Registration - Online Shopping System","should register successfully with valid unique data"
"","16841","should log in successfully with valid admin credentials","","Fri Apr 18 13:13:55 SGT 2025","failed","Fri Apr 18 13:14:12 SGT 2025","","Admin Login Functionality - Online Shopping System","Admin Login Functionality - Online Shopping System","should log in successfully with valid admin credentials"
"","179","should not allow login with empty email and password","","Sat May 17 00:15:34 SGT 2025","passed","Sat May 17 00:15:34 SGT 2025","","Admin Login Functionality - Online Shopping System","Admin Login Functionality - Online Shopping System","should not allow login with empty email and password"
"","6829","should login successfully with valid admin credentials","","Fri Apr 18 09:01:42 SGT 2025","failed","Fri Apr 18 09:01:49 SGT 2025","","Admin Login Functionality - Online Shopping System","Admin Login Functionality - Online Shopping System","should login successfully with valid admin credentials"
"","4866","should prevent login with SQL injection attempt","","Fri Apr 18 09:01:54 SGT 2025","failed","Fri Apr 18 09:01:59 SGT 2025","","Admin Login Functionality - Online Shopping System","Admin Login Functionality - Online Shopping System","should prevent login with SQL injection attempt"
"","6131","should not log in with SQL injection in inputs","","Fri Apr 18 13:14:23 SGT 2025","failed","Fri Apr 18 13:14:30 SGT 2025","","Admin Login Functionality - Online Shopping System","Admin Login Functionality - Online Shopping System","should not log in with SQL injection in inputs"
"","2426","should log in successfully with valid email and password","","Sat May 17 00:15:31 SGT 2025","passed","Sat May 17 00:15:33 SGT 2025","","Admin Login Functionality - Online Shopping System","Admin Login Functionality - Online Shopping System","should log in successfully with valid email and password"
"","486","should display validation errors when fields are empty","","Fri Apr 18 09:01:54 SGT 2025","passed","Fri Apr 18 09:01:54 SGT 2025","","Admin Login Functionality - Online Shopping System","Admin Login Functionality - Online Shopping System","should display validation errors when fields are empty"
"","4830","should not allow login with empty fields","","Fri Apr 18 13:14:18 SGT 2025","failed","Fri Apr 18 13:14:23 SGT 2025","","Admin Login Functionality - Online Shopping System","Admin Login Functionality - Online Shopping System","should not allow login with empty fields"
"","6525","should show error for invalid email format","","Sat May 17 00:15:50 SGT 2025","broken","Sat May 17 00:15:57 SGT 2025","","User Registration - Online Shopping System","User Registration - Online Shopping System","should show error for invalid email format"
"","864","should display error for invalid email or password","","Sat May 17 00:15:33 SGT 2025","passed","Sat May 17 00:15:34 SGT 2025","","Admin Login Functionality - Online Shopping System","Admin Login Functionality - Online Shopping System","should display error for invalid email or password"
"","7141","should show error when password and confirm password do not match","","Sat May 17 00:15:57 SGT 2025","broken","Sat May 17 00:16:04 SGT 2025","","User Registration - Online Shopping System","User Registration - Online Shopping System","should show error when password and confirm password do not match"
"","772","should block SQL injection attempts in email and password","","Sat May 17 00:15:34 SGT 2025","passed","Sat May 17 00:15:35 SGT 2025","","Admin Login Functionality - Online Shopping System","Admin Login Functionality - Online Shopping System","should block SQL injection attempts in email and password"
"","10209","should log in successfully and add a new product","","Sat May 17 00:15:12 SGT 2025","failed","Sat May 17 00:15:23 SGT 2025","","Admin Login and Product Addition Test - Online Shopping System","Admin Login and Product Addition Test - Online Shopping System","should log in successfully and add a new product"
"","4186","should show an error if product title is not provided","","Sat May 17 00:15:23 SGT 2025","failed","Sat May 17 00:15:27 SGT 2025","","Admin Login and Product Addition Test - Online Shopping System","Admin Login and Product Addition Test - Online Shopping System","should show an error if product title is not provided"
